fsubs[.],fsubs,fsubs,Implemented,PPC,BASIC,163,187,Floating Subtract Single A-form
fdiv[.],fdiv,fdiv,Implemented,P1,BASIC,164,188,Floating Divide A-form
fmul[.],fmul,fmul,Implemented,P1,BASIC,164,188,Floating Multiply A-form
fdivs[.],fdivs,fdivs,Implemented,PPC,BASIC,164,188,Floating Divide Single A-form
fmuls[.],fmuls,fmuls,Implemented,PPC,BASIC,164,188,Floating Multiply Single A-form
fsqrt[.],fsqrt,fsqrt,Implemented,P2,BASIC,165,189,Floating Square Root A-form
fres[.],fres,fres,Implemented,PPC,BASIC,165,189,Floating Reciprocal Estimate Single A-form
fsqrts[.],fsqrts,fsqrts,Implemented,PPC,BASIC,165,189,Floating Square Root Single A-form
fre[.],fre,fre,Implemented,v2.02,BASIC,165,189,Floating Reciprocal Estimate A-form
frsqrte[.],frsqrte,frsqrte,Implemented,PPC,BASIC,166,190,Floating Reciprocal Square Root Estimate A-form
frsqrtes[.],frsqrtes,frsqrtes,Implemented,v2.02,BASIC,166,190,Floating Reciprocal Square Root Estimate Single A-form
ftdiv,ftdiv,ftdiv,Unimplemented,v2.06,BASIC,166,190,Floating Test for software Divide X-form
ftsqrt,ftsqrt,ftsqrt,Unimplemented,v2.06,BASIC,167,191,Floating Test for software Square Root X-form
fmadd[.],fmadd,fmadd,Implemented,P1,BASIC,168,192,Floating Multiply-Add A-form
fmsub[.],fmsub,fmsub,Implemented,P1,BASIC,168,192,Floating Multiply-Subtract A-form
fmadds[.],fmadds,fmadds,Implemented,PPC,BASIC,168,192,Floating Multiply-Add Single A-form
fmsubs[.],fmsubs,fmsubs,Implemented,PPC,BASIC,168,192,Floating Multiply-Subtract Single A-form
fnmadd[.],fnmadd,fnmadd,Implemented,P1,BASIC,169,193,Floating Negative Multiply-Add A-form
fnmsub[.],fnmsub,fnmsub,Implemented,P1,BASIC,169,193,Floating Negative Multiply-Subtract A-form
fnmadds[.],fnmadds,fnmadds,Implemented,PPC,BASIC,169,193,Floating Negative Multiply-Add Single A-form
fnmsubs[.],fnmsubs,fnmsubs,Implemented,PPC,BASIC,169,193,Floating Negative Multiply-Subtract Single A-form
frsp[.],frsp,frsp,Implemented,P1,BASIC,170,194,Floating Round to Single-Precision X-form
fctid[.],fctid,fctid,Implemented,PPC,BASIC,170,194,Floating Convert with round Double-Precision To Signed Doubleword format X-form
fctidz[.],fctidz,fctidz,Implemented,PPC,BASIC,171,195,Floating Convert with truncate Double-Precision To Signed Doubleword format X-form
fctidu[.],fctidu,fctidu,Implemented,v2.06,BASIC,171,195,Floating Convert with round Double-Precision To Unsigned Doubleword format X-form
fctiw[.],fctiw,fctiw,Implemented,P2,BASIC,172,196,Floating Convert with round Double-Precision To Signed Word format X-form
fctiduz[.],fctiduz,fctiduz,Implemented,v2.06,BASIC,172,196,Floating Convert with truncate Double-Precision To Unsigned Doubleword format X-form
fctiwuz[.],fctiwuz,fctiwuz,Implemented,v2.06,BASIC,172,196,Floating Convert with truncate Double-Precision To Unsigned Word format X-form
fctiwz[.],fctiwz,fctiwz,Implemented,P2,BASIC,173,197,Floating Convert with truncate Double-Precision To Signed Word fomat X-form
fctiwu[.],fctiwu,fctiwu,Implemented,v2.06,BASIC,173,197,Floating Convert with round Double-Precision To Unsigned Word format X-form
fcfid[.],fcfid,fcfid,Implemented,PPC,BASIC,174,198,Floating Convert with round Signed Doubleword to Double-Precision format X-form
fcfids[.],fcfids,fcfids,Implemented,v2.06,BASIC,175,199,Floating Convert with round Signed Doubleword to Single-Precision format X-form
fcfidu[.],fcfidu,fcfidu,Implemented,v2.06,BASIC,175,199,Floating Convert with round Unsigned Doubleword to Double-Precision format X-form
fcfidus[.],fcfidus,fcfidus,Implemented,v2.06,BASIC,176,200,Floating Convert with round Unsigned Doubleword to Single-Precision format X-form
frim[.],frim,frim,Implemented,v2.02,BASIC,178,202,Floating Round to Integer Minus X-form
frin[.],frin,frin,Implemented,v2.02,BASIC,178,202,Floating Round to Integer Nearest X-form
frip[.],frip,frip,Implemented,v2.02,BASIC,178,202,Floating Round to Integer Plus X-form
friz[.],friz,friz,Implemented,v2.02,BASIC,178,202,Floating Round to Integer Toward Zero X-form
fcmpo,fcmpo,fcmpo,Implemented,P1,BASIC,179,203,Floating Compare Ordered X-form
fcmpu,fcmpu,fcmpu,Implemented,P1,BASIC,179,203,Floating Compare Unordered X-form
fsel[.],fsel,fsel,Implemented,PPC,BASIC,180,204,Floating Select A-form
mffs[.],mffs,mffs,Implemented,P1,BASIC,182,206,Move From FPSCR X-form
mcrfs,mcrfs,mcrfs,Implemented,P1,BASIC,184,208,Move to Condition Register from FPSCR X-form
mtfsf[.],mtfsf,mtfsf,Implemented,P1,BASIC,184,208,Move To FPSCR Fields XFL-form
mtfsfi[.],mtfsfi,mtfsfi,Implemented,P1,BASIC,184,208,Move To FPSCR Field Immediate X-form
mtfsb0[.],mtfsb0,mtfsb0,Implemented,P1,BASIC,185,209,Move To FPSCR Bit 0 X-form
mtfsb1[.],mtfsb1,mtfsb1,Implemented,P1,BASIC,185,209,Move To FPSCR Bit 1 X-form
dadd[.],dadd,dadd,Unimplemented,v2.05,BASIC,206,230,DFP Add X-form
daddq[.],daddq,daddq,Unimplemented,v2.05,BASIC,206,230,DFP Add Quad X-form
dsub[.],dsub,dsub,Unimplemented,v2.05,BASIC,206,230,DFP Subtract X-form
dsubq[.],dsubq,dsubq,Unimplemented,v2.05,BASIC,206,230,DFP Subtract Quad X-form
dmul[.],dmul,dmul,Unimplemented,v2.05,BASIC,208,232,DFP Multiply X-form
dmulq[.],dmulq,dmulq,Unimplemented,v2.05,BASIC,208,232,DFP Multiply Quad X-form
ddiv[.],ddiv,ddiv,Unimplemented,v2.05,BASIC,209,233,DFP Divide X-form
ddivq[.],ddivq,ddivq,Unimplemented,v2.05,BASIC,209,233,DFP Divide Quad X-form
dcmpu,dcmpu,dcmpu,Unimplemented,v2.05,BASIC,211,235,DFP Compare Unordered X-form
dcmpuq,dcmpuq,dcmpuq,Unimplemented,v2.05,BASIC,211,235,DFP Compare Unordered Quad X-form
